Citywide Auto Sales|2480 Main Street|214-555-2398
10456|2015|Toyota|Camry|Sedan|Silver|84213|11995.00
20547|2018|Chevrolet|Equinox|SUV|Black|65320|17450.00
30982|2017|Nissan|Altima|Sedan|White|73200|13995.00
41093|2014|Ford|F-150|Truck|Blue|112345|15900.00
51234|2020|Jeep|Compass|SUV|Red|28500|22995.00
61875|2016|Honda|Accord|Sedan|Gray|89540|14450.00
72451|2013|Subaru|Outback|Wagon|Green|120345|10995.00
83592|2021|Tesla|Model 3|Sedan|White|18320|35995.00
94703|2019|Kia|Soul|Hatchback|Yellow|44210|15895.00
10584|2015|BMW|X3|SUV|Black|78500|22950.00
